,train_acc,valid_acc,test_acc
0,0.057692307692307696,0.13814180929095354,0.1198044009779951
1,0.1478937728937729,0.3105134474327628,0.24327628361858192
2,0.27945665445665446,0.5134474327628362,0.42053789731051344
3,0.40201465201465203,0.6552567237163814,0.5525672371638142
4,0.49755799755799757,0.7127139364303179,0.5843520782396088
5,0.5641025641025641,0.7420537897310513,0.6418092909535452
6,0.6127899877899878,0.8092909535452323,0.7004889975550123
7,0.657051282051282,0.8251833740831296,0.7310513447432763
8,0.6866605616605617,0.8386308068459658,0.7310513447432763
9,0.7075702075702076,0.8679706601466992,0.7689486552567237
10,0.7367216117216118,0.871638141809291,0.7652811735941321
11,0.7452686202686203,0.8924205378973105,0.7762836185819071
12,0.7510683760683761,0.8936430317848411,0.8068459657701712
13,0.7657203907203908,0.902200488997555,0.8007334963325183
14,0.7736568986568987,0.91320293398533,0.812958435207824
15,0.7822039072039072,0.91320293398533,0.8215158924205379
16,0.7922771672771672,0.91320293398533,0.8190709046454768
17,0.7963980463980463,0.9083129584352079,0.8056234718826406
18,0.8073870573870574,0.9266503667481663,0.8202933985330073
19,0.8137973137973138,0.9205378973105135,0.8202933985330073
20,0.8115079365079365,0.9242053789731052,0.8312958435207825
21,0.8273809523809523,0.9229828850855746,0.8337408312958435
22,0.8296703296703297,0.9156479217603912,0.843520782396088
23,0.8298229548229549,0.9278728606356969,0.8398533007334963
24,0.8415750915750916,0.9364303178484108,0.8398533007334963
25,0.8458485958485958,0.9278728606356969,0.8374083129584352
26,0.8423382173382173,0.9290953545232273,0.8337408312958435
27,0.8447802197802198,0.9303178484107579,0.8496332518337408
28,0.844017094017094,0.9376528117359413,0.8508557457212714
29,0.8547008547008547,0.9278728606356969,0.8422982885085575
30,0.853021978021978,0.9352078239608802,0.8533007334963325
31,0.8554639804639804,0.9400977995110025,0.8520782396088019
32,0.8733211233211233,0.9315403422982885,0.8691931540342298
33,0.8675213675213675,0.9352078239608802,0.8520782396088019
34,0.8635531135531136,0.9364303178484108,0.8814180929095354
35,0.8725579975579976,0.9376528117359413,0.8594132029339854
36,0.8716422466422467,0.9364303178484108,0.8545232273838631
37,0.8771367521367521,0.9352078239608802,0.8838630806845966
38,0.8711843711843712,0.9352078239608802,0.8691931540342298
39,0.878052503052503,0.9437652811735942,0.8655256723716381
40,0.8731684981684982,0.9388753056234719,0.8594132029339854
41,0.884004884004884,0.9388753056234719,0.8691931540342298
42,0.8795787545787546,0.941320293398533,0.8899755501222494
43,0.8847680097680097,0.941320293398533,0.8753056234718827
44,0.876984126984127,0.9388753056234719,0.8875305623471883
45,0.8910256410256411,0.9425427872860636,0.8691931540342298
46,0.8888888888888888,0.9400977995110025,0.8655256723716381
47,0.8798840048840049,0.9449877750611247,0.8643031784841075
48,0.8884310134310134,0.9437652811735942,0.8691931540342298
49,0.8881257631257631,0.9449877750611247,0.8704156479217604
50,0.889041514041514,0.941320293398533,0.8740831295843521
51,0.8946886446886447,0.9498777506112469,0.8801955990220048
52,0.8963675213675214,0.9425427872860636,0.8740831295843521
53,0.8925518925518926,0.9388753056234719,0.8753056234718827
54,0.8956043956043956,0.9400977995110025,0.8655256723716381
55,0.9012515262515263,0.9400977995110025,0.8814180929095354
56,0.8937728937728938,0.9364303178484108,0.8606356968215159
57,0.9044566544566545,0.9425427872860636,0.8789731051344744
58,0.8960622710622711,0.9449877750611247,0.8948655256723717
59,0.8963675213675214,0.9486552567237164,0.8789731051344744
60,0.9035409035409036,0.9425427872860636,0.882640586797066
61,0.8995726495726496,0.9474327628361858,0.8740831295843521
62,0.896978021978022,0.9486552567237164,0.8765281173594132
63,0.9064407814407814,0.9498777506112469,0.8899755501222494
64,0.9085775335775336,0.9462102689486552,0.8838630806845966
