,train_loss,valid_loss,test_loss
0,4.119062916746417,3.2114907778226414,3.240978662784283
1,4.806241715996011,3.962046036353478,3.9678118228912354
2,4.466217047959855,3.6732241098697367,3.726305283032931
3,4.514123120354217,4.079127696844248,4.0671129043285665
4,4.456748504083134,4.127358143146221,4.091644103710468
5,4.519982143513207,4.3112969398498535,4.285561194786658
6,4.45631932980806,4.261982569327722,4.250244965920081
7,4.499172634291417,4.176165874187763,4.2222942755772515
8,4.551474224016505,4.328032365212073,4.3429849697993355
9,4.469739758852616,4.242434795086201,4.2527403097886305
10,4.506471527432932,4.335893906079805,4.353160014519324
11,4.435482645497738,4.1552656797262335,4.124833968969492
12,4.487659028432901,4.307804566163283,4.298152373387263
13,4.471990867725854,4.259215941795936,4.27175312775832
14,4.412967459669391,4.351310693300688,4.361801752677331
15,4.484915256500244,4.43121704688439,4.338164916405311
16,4.573099520599958,4.358631482491126,4.382571458816528
17,4.483354114791722,4.278587561387282,4.278996430910551
18,4.482313632965088,4.39416241645813,4.3714926976424
19,4.473704708432688,4.351663901255681,4.3526967488802395
20,4.5452340922309356,4.46460775228647,4.462444268740141
21,4.498416567311703,4.4294379491072435,4.426789100353535
22,4.4880434795490745,4.304738925053523,4.316594985815195
23,4.447657071270989,4.309703478446374,4.344019669752854
24,4.480581126166779,4.296757918137771,4.32051053413978
25,4.504329371220857,4.333314107014583,4.334010546024029
26,4.473117337643521,4.390266840274517,4.388144273024339
27,4.454942568991948,4.28988896883451,4.298668512931237
28,4.4647295637038145,4.392033815383911,4.420651710950411
29,4.467710657027161,4.409684382952177,4.416822580190805
30,4.489140649443692,4.41651725769043,4.446694979300866
31,4.621384991025462,4.4099632776700535,4.434602627387414
32,4.478609182302234,4.450435858506423,4.444798854681162
33,4.510763344255466,4.9029385309952955,4.90536957520705
34,4.515766041950115,4.378469613882212,4.399951568016639
35,4.492000866862177,4.399883453662579,4.423047652611365
36,4.520945053656124,4.460955253014197,4.480214302356426
37,4.502030821679865,4.463072996873122,4.47822563464825
38,4.472926070389239,4.377410888671875,4.385181023524358
39,4.484755488275324,4.399623962549063,4.4168015993558445
40,4.515453750647388,4.448826404718252,4.462326453282283
41,4.481713077397022,4.439012637505164,4.454410332899827
42,4.492539067870205,4.350145706763635,4.358892660874587
43,4.501799513992754,4.443683220789983,4.465672896458552
44,4.48749046881222,4.413476687211257,4.406669726738563
45,4.468571102734908,4.417560522372906,4.413807978996863
46,4.515528044654328,4.409268580950224,4.441537086780254
47,4.507771649406951,4.461799108065092,4.472904370381282
48,4.5338826410978745,4.467117456289438,4.501374061291035
49,4.5492163074826735,4.408148068648118,4.430460342994103
50,4.483957054545578,4.477641802567702,4.478817701339722
51,4.574797065512648,4.311233300429124,4.307862813656147
52,4.4986250747754735,4.427232192112849,4.439340994908259
53,4.513242064170467,4.473186786358173,4.467471306140606
54,4.502474905217736,4.442310479971079,4.437168469795814
55,4.477704025009303,4.475955302898701,4.460706380697397
56,4.4825797682826956,4.440496609761165,4.445945556347187
57,4.48958708939043,4.446424080775334,4.44902227475093
58,4.507789264604884,4.460779263423039,4.468627269451435
59,4.493812440668495,4.383413369839008,4.400982728371253
60,4.510390952952857,4.44201188821059,4.457168835860032
61,4.517672936893204,4.452962178450364,4.452671931340144
62,4.501566576726228,4.441084421597994,4.48935264807481
63,4.490610520816544,4.4802599136645975,4.489567719973051
64,4.497870963754006,4.485846189352182,4.4881929617661696
65,4.488964548388731,4.459357096598699,4.463095426559448
66,4.4998514073566325,4.44057587476877,4.429463679973896
67,4.50418380626197,4.483544936546912,4.478043996370756
68,4.509456653039432,4.524797696333665,4.473808325254
69,4.482806761287948,4.4448226415194,4.445794802445632
70,4.46404495517027,4.488570653475248,4.490378746619592
71,4.527320667377953,4.396440505981445,4.392337799072266
72,4.493623390938472,4.448536487726065,4.447472407267644
73,4.486624282540627,4.439976875598614,4.4417168360490065
74,4.492867178129918,4.4675003198476935,4.469748772107637
75,4.502762988933082,4.500915930821345,4.493901436145489
76,4.562048638908609,4.476643947454599,4.474452678973858
77,4.499938876883498,4.471955867914053,4.488442255900456
78,4.503150495510657,4.442668144519512,4.429682419850276
79,4.491616832399831,4.474485947535588,4.464403812701885
80,4.516027223716661,4.427577257156372,4.4436594889714165
81,4.492059591904427,4.4422906545492316,4.4791619044083815
82,4.516927089505983,4.462049887730525,4.453096151351929
83,4.499471423695389,4.493127676156851,4.486444106468787
84,4.494092293156004,4.479662876862746,4.478150221017691
85,4.50044468074169,4.491671543854934,4.4887994436117316
86,4.507964842527816,4.450003844041091,4.451939986302302
87,4.500566825125981,4.487748146057129,4.4984420629648065
88,4.494864445288204,4.499767743624174,4.492958655724158
89,4.5266094809596975,4.449525356292725,4.460721602806678
90,4.505919326856298,4.461013427147498,4.463904454157903
91,4.522032510887072,4.469317032740666,4.478026903592623
92,4.4953313383083895,4.402162863658025,4.410973457189707
93,4.502909100171432,4.482197431417612,4.476933589348426
94,4.476075061316629,4.4064911512228155,4.403107716487004
95,4.477764027789958,4.4692870653592625,4.458688222444975
96,4.483305222779801,4.450276081378643,4.463163632612962
97,4.492405280326176,4.458698309384859,4.469605079064002
98,4.504330287859278,4.470993592188909,4.470536195314848
99,4.494049771318158,4.443902327464177,4.4405729954059305
100,4.491880333539352,4.415868172278771,4.424744826096755
101,4.530238994116922,4.450200906166663,4.472161513108474
102,4.5055601527389975,4.44677130992596,4.437411418327918
103,4.500792549651804,4.440051592313326,4.427657567537748
104,4.490763752205858,4.467367062201867,4.473450330587534
105,4.506962313235385,4.479903111091027,4.476472964653602
106,4.5065228823319226,4.497650293203501,4.499219821049617
107,4.505230385122947,4.512863379258376,4.494992292844332
108,4.499137262696201,4.488244130061223,4.482879015115591
109,4.494158800365855,4.443629998427171,4.447069718287541
110,4.4868416184360544,4.393536769426786,4.385613588186411
111,4.520788169601588,4.515264437748836,4.442404691989605
112,4.500779239876756,4.495588559370774,4.494573703178992
113,4.504842248935144,4.501771229964036,4.493610198681171
114,4.507695901741102,4.493046503800612,4.488596182603103
115,4.49806349948772,4.488395140721248,4.493089052347036
116,4.504012876343959,4.492644713475154,4.4938052617586575
117,4.513990235560149,4.498573670020471,4.494064991290752
118,4.481552619378544,4.38601908316979,4.391956347685594
119,4.520708273915411,4.489584005795992,4.490296143751878
